iter	sc_Vmax(1)	Km(1)	LnPrior	LnData	LnPosterior
1480	0.0645296	56.0767	-4.881943e+00	-1.462811e+03	-1.467693e+03
1485	0.061837	53.7195	-4.782534e+00	-1.461650e+03	-1.466433e+03
1490	0.0592111	50.2421	-4.653465e+00	-1.461346e+03	-1.466000e+03
1495	0.055449	47.3613	-4.511719e+00	-1.459078e+03	-1.463590e+03
1500	0.0514118	42.175	-4.292694e+00	-1.458619e+03	-1.462912e+03
1505	0.0492918	42.175	-4.249145e+00	-1.455629e+03	-1.459878e+03
1510	0.0481025	42.3489	-4.228966e+00	-1.455120e+03	-1.459349e+03
1515	0.0471945	42.3489	-4.209456e+00	-1.455297e+03	-1.459506e+03
1520	0.0470141	42.3489	-4.205542e+00	-1.455388e+03	-1.459594e+03
1525	0.0470141	42.3489	-4.205542e+00	-1.455388e+03	-1.459594e+03
1530	0.0470141	39.8275	-4.132418e+00	-1.454405e+03	-1.458537e+03
1535	0.0470141	40.3514	-4.147927e+00	-1.454295e+03	-1.458443e+03
1540	0.0470141	39.0217	-4.108228e+00	-1.454943e+03	-1.459052e+03
1545	0.0426683	39.0217	-4.010060e+00	-1.454534e+03	-1.458544e+03
1550	0.0436278	37.3514	-3.980900e+00	-1.452274e+03	-1.456255e+03
1555	0.0436278	37.3514	-3.980900e+00	-1.452274e+03	-1.456255e+03
1560	0.0436278	38.2899	-4.010076e+00	-1.452773e+03	-1.456783e+03
1565	0.0411561	35.2365	-3.854409e+00	-1.450752e+03	-1.454606e+03
1570	0.0416256	35.2365	-3.865723e+00	-1.450933e+03	-1.454799e+03
1575	0.0375128	33.908	-3.718354e+00	-1.451558e+03	-1.455276e+03
1580	0.038999	33.908	-3.756522e+00	-1.449912e+03	-1.453669e+03
1585	0.038999	33.553	-3.744375e+00	-1.449537e+03	-1.453281e+03
1590	0.0368776	30.0366	-3.563019e+00	-1.447520e+03	-1.451083e+03
1595	0.0363428	30.0366	-3.548788e+00	-1.446993e+03	-1.450542e+03
1600	0.034879	28.8509	-3.463509e+00	-1.445824e+03	-1.449287e+03
1605	0.034453	28.8509	-3.451667e+00	-1.445722e+03	-1.449173e+03
1610	0.0353604	28.6987	-3.470809e+00	-1.446219e+03	-1.449690e+03
1615	0.0308358	25.0088	-3.187251e+00	-1.442106e+03	-1.445294e+03
1620	0.0286018	23.6999	-3.058224e+00	-1.440880e+03	-1.443938e+03
1625	0.0286018	23.5153	-3.049727e+00	-1.440538e+03	-1.443587e+03
1630	0.0303395	23.5153	-3.104761e+00	-1.441869e+03	-1.444973e+03
1635	0.0307493	23.5153	-3.117374e+00	-1.442856e+03	-1.445973e+03
1640	0.0305415	24.4286	-3.152512e+00	-1.441709e+03	-1.444861e+03
1645	0.0303456	24.4286	-3.146469e+00	-1.441559e+03	-1.444705e+03
1650	0.0303456	23.7791	-3.117077e+00	-1.441637e+03	-1.444754e+03
1655	0.0306607	23.7791	-3.126785e+00	-1.442237e+03	-1.445364e+03
1660	0.0297241	23.8479	-3.100837e+00	-1.440921e+03	-1.444022e+03
1665	0.0297241	23.1991	-3.070880e+00	-1.440993e+03	-1.444064e+03
1670	0.0277989	23.1865	-3.008117e+00	-1.440622e+03	-1.443630e+03
1675	0.027515	23.1865	-2.998662e+00	-1.441078e+03	-1.444076e+03
1680	0.027515	23.1703	-2.997905e+00	-1.441029e+03	-1.444027e+03
1685	0.0302205	23.1703	-3.085041e+00	-1.442073e+03	-1.445158e+03
1690	0.0302205	23.1703	-3.085041e+00	-1.442073e+03	-1.445158e+03
1695	0.0304987	24.2422	-3.142829e+00	-1.441665e+03	-1.444808e+03
1700	0.0305375	25.5419	-3.201298e+00	-1.442776e+03	-1.445978e+03
1705	0.0305375	24.7215	-3.165434e+00	-1.441807e+03	-1.444972e+03
1710	0.030499	24.7175	-3.164071e+00	-1.441788e+03	-1.444952e+03
1715	0.032536	24.7175	-3.225219e+00	-1.445530e+03	-1.448755e+03
1720	0.031384	24.7175	-3.191026e+00	-1.442704e+03	-1.445895e+03
1725	0.0298609	24.3176	-3.126405e+00	-1.441307e+03	-1.444433e+03
1730	0.0281433	22.6558	-2.994453e+00	-1.439455e+03	-1.442450e+03
1735	0.0281433	22.7755	-3.000141e+00	-1.439594e+03	-1.442594e+03
1740	0.028209	21.6539	-2.947995e+00	-1.439473e+03	-1.442421e+03
1745	0.0252459	19.7378	-2.748142e+00	-1.435864e+03	-1.438612e+03
1750	0.0252459	19.7378	-2.748142e+00	-1.435864e+03	-1.438612e+03
